wl;up_coef;dw_coef;wl_F;up_coef_F;dw_coef_F;Device ID
649.0240442;0.004011324;0.001269379;340.2426507;0.017323718;0.001742343;JB-013-ESA
649.2025937;0.004001431;0.001266223;341.0050995;0.017073873;0.00171567;Date
649.3811076;0.00399154;0.001263068;341.7673679;0.016824086;0.001689003;20180515
649.5595859;0.003981651;0.001259913;342.529456;0.016574358;0.001662343;Technician
649.7380286;0.003971764;0.001256759;343.2913636;0.01632469;0.001635688;Paul
649.9164356;0.003961878;0.001253605;344.0530908;0.01607508;0.001609041;Place
650.094807;0.003951995;0.001250453;344.8146376;0.01582553;0.001582399;Julich
650.2731427;0.003942114;0.0012473;345.5760039;0.015576039;0.001555764;
650.4514429;0.003932235;0.001244149;346.3371898;0.015326607;0.001529135;
650.6297074;0.003922357;0.001240998;347.0981951;0.015077234;0.001502512;
650.8079364;0.003912482;0.001237847;347.85902;0.01482792;0.001475896;
650.9861297;0.003902621;0.001234698;348.6196643;0.014578666;0.001449286;
651.1642874;0.003892789;0.001231552;349.3801281;0.01432947;0.001422683;
651.3424095;0.003882993;0.001228414;350.1404113;0.014080334;0.001396085;
651.520496;0.003873236;0.001225288;350.9005139;0.013831257;0.001369494;
651.6985469;0.003863525;0.001222178;351.660436;0.013582239;0.00134291;
651.8765623;0.003853863;0.001219088;352.4201774;0.013333281;0.001316331;
652.054542;0.003844257;0.001216022;353.1797382;0.013084381;0.001289759;
652.2324861;0.003834708;0.001212984;353.9391183;0.012835541;0.001263194;
652.4103947;0.003825206;0.001209969;354.6983178;0.01258676;0.001236634;
652.5882677;0.003815736;0.001206974;355.4573365;0.012338038;0.001210081;
652.766105;0.003806285;0.001203995;356.2161746;0.012089375;0.001183534;
652.9439069;0.003796839;0.001201028;356.974832;0.011840772;0.001156994;
653.1216731;0.003787383;0.001198068;357.7333086;0.011592227;0.00113046;
653.2994038;0.003777905;0.001195112;358.4916044;0.011343742;0.001103932;
653.4770989;0.003768393;0.001192157;359.2497195;0.011095317;0.001077411;
653.6547584;0.003758854;0.001189211;360.0076538;0.01084695;0.001050896;
653.8323824;0.003749298;0.001186282;360.7654072;0.010598643;0.001024387;
654.0099708;0.003739734;0.00118338;361.5229799;0.010350395;0.000997884;
654.1875237;0.003730171;0.001180512;362.2803717;0.010102206;0.000971388;
654.365041;0.00372062;0.001177688;363.0375826;0.009854077;0.000944898;
654.5425228;0.00371109;0.001174918;363.7946127;0.009606007;0.000918415;
654.719969;0.003701589;0.001172205;364.5514618;0.009357996;0.000891938;
654.8973797;0.003692116;0.00116954;365.30813;0.009110044;0.000865467;
655.0747548;0.003682669;0.001166908;366.0646173;0.008862152;0.000839002;
655.2520944;0.003673246;0.001164296;366.8209237;0.008614319;0.000812544;
655.4293985;0.003663844;0.001161688;367.5770491;0.008366545;0.000786092;
655.606667;0.003654462;0.001159071;368.3329934;0.00811883;0.000759647;
655.7839;0.003645096;0.001156431;369.0887568;0.007871175;0.000733208;
655.9610975;0.003635749;0.001153758;369.8443392;0.00762358;0.000706775;
656.1382595;0.00362643;0.001151056;370.5997405;0.007376043;0.000680348;
656.3153859;0.003617156;0.001148337;371.3549608;0.0071313;0.000653909;
656.4924768;0.003607941;0.001145609;372.1099999;0.006892051;0.000627547;
656.6695323;0.0035988;0.001142882;372.864858;0.006658248;0.000601427;
656.8465522;0.003589748;0.001140166;373.619535;0.006429841;0.000575715;
657.0235366;0.003580799;0.00113747;374.3740308;0.006206782;0.000550574;
657.2004854;0.003571961;0.0011348;375.1283455;0.00598902;0.000526168;
657.3773988;0.003563213;0.001132155;375.8824791;0.005776531;0.000502638;
657.5542767;0.003554526;0.001129526;376.6364314;0.005569388;0.000480037;
657.7311191;0.003545871;0.001126908;377.3902026;0.005367684;0.000458393;
657.907926;0.00353722;0.001124293;378.1437925;0.005171516;0.000437734;
658.0846975;0.003528545;0.001121677;378.8972012;0.004980979;0.000418089;
658.2614334;0.003519817;0.001119052;379.6504286;0.004796168;0.000399488;
658.4381338;0.003511016;0.001116414;380.4034748;0.004617178;0.000381958;
658.6147988;0.003502157;0.001113766;381.1563397;0.004444129;0.000365513;
658.7914283;0.003493263;0.001111113;381.9090232;0.004277246;0.000350105;
658.9680223;0.003484356;0.001108461;382.6615255;0.004116776;0.000335671;
659.1445809;0.003475459;0.001105814;383.4138464;0.00396297;0.000322149;
659.3211039;0.003466594;0.001103179;384.1659859;0.003816075;0.000309475;
659.4975916;0.003457785;0.001100558;384.9179441;0.003676339;0.000297587;
659.6740437;0.003449051;0.001097959;385.6697209;0.00354401;0.000286423;
659.8504604;0.003440401;0.001095382;386.4213162;0.003419221;0.000275924;
660.0268417;0.003431842;0.001092831;387.1727302;0.003301639;0.000266052;
660.2031874;0.003423381;0.001090307;387.9239626;0.003190821;0.000256771;
660.3794978;0.003415023;0.001087813;388.6750136;0.003086321;0.000248047;
660.5557727;0.003406776;0.001085351;389.4258832;0.002987696;0.000239846;
660.7320121;0.003398645;0.001082923;390.1765712;0.002894502;0.000232133;
660.9082161;0.003390634;0.001080529;390.9270777;0.002806349;0.000224877;
661.0843847;0.003382734;0.001078166;391.6774027;0.002723057;0.000218062;
661.2605178;0.003374932;0.001075824;392.4275461;0.002644499;0.000211675;
661.4366155;0.003367216;0.001073499;393.1775079;0.002570547;0.000205705;
661.6126778;0.003359573;0.001071184;393.9272882;0.002501075;0.000200139;
661.7887046;0.003351992;0.00106887;394.6768868;0.002435957;0.000194963;
661.9646961;0.00334446;0.001066553;395.4263038;0.002375065;0.000190167;
662.1406521;0.003336965;0.001064226;396.1755392;0.002318234;0.000185733;
662.3165727;0.003329503;0.001061892;396.9245929;0.002265139;0.00018163;
662.4924578;0.003322067;0.001059554;397.673465;0.002215417;0.000177822;
662.6683076;0.003314654;0.001057214;398.4221553;0.002168704;0.000174274;
662.844122;0.003307258;0.001054878;399.1706639;0.002124637;0.000170949;
663.0199009;0.003299875;0.001052547;399.9189908;0.002082855;0.000167813;
663.1956445;0.0032925;0.001050226;400.6671359;0.002042996;0.000164829;
663.3713526;0.003285129;0.001047916;401.4150993;0.002004743;0.000161967;
663.5470254;0.003277758;0.001045623;402.1628809;0.001967964;0.000159211;
